COD_RH;                 PARTICIPANTE;                 EVENTO;                FECHA;                LUGAR;                PRODUCTOS;                 TIPO_PRODUCTO 
0000217344;Elvis Eduardo Gaona Garcia;Geoinformation for Disaster management Gi4DM;2019;Praga;NDEIBASED MAPPING OF LAND SURFACE CHANGES;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;WorldCist19  7th World Conference on Information Systems and Technologies;2019;Isla La Toja;Multiphase Cfd Simulation of Photogrammetry 3d Model For Uav Crop Spraying;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;2019 2nd International Conference And Workship On Telecommunication, Computing, Electrical, Electronics And Control ICWTelekomnika;2019;Yogyakarta;Performance of WiFi Networks in Coexistence with LTE in Nonlicensed Band;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;ANIMH 2nd International Conference on New Developments in Engineering and Applied Sciences NDEAAug2019;2019;Seúl;Electrical Energy Generation And Energy Consumption Prediction Model Based On Artificial Neural Networks For Rural Microgrid;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;15a Conferencia Ibérica de Sistemas y Tecnologias de Información;2020;Sevilla;Modelo predictivo del consumo y generación de energía eléctrica en microrredes basado en redes neuronales;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;International Conference on Science and Innovative Engineering ICSIE;2018;Santiago de Chile;Correction of The Propagation Model in Digital Terrestrial Television Networks in Colombian Urban Environments;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;ISPRS 2020 Congress;2020;Niza;A novel method for estimation of structural changes in potato crops from UAVbased digital surface models;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;Usability of big data resources in visual search interfaces of repositories based on KOS;2018;Barcelona;Usability of big data resources in visual search interfaces of repositories based on KOS;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;5th Workshop on Engineering Applications WEA 2018;2018;MEDELLÍN;Implementation of the AODV Routing Protocol for Message Notification in a Wireless Sensor Microgrid;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000217344;Elvis Eduardo Gaona Garcia;Usability of big data resources in visual search interfaces of repositories base on KOS;2018;Barcelona;Usability of big data resources in visual search interfaces of repositories base on KOSData Science and Big Data Technology;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000217344;Elvis Eduardo Gaona Garcia;International Conference Europe Middle East  North Africa On Information System Technology and Learning Researchs;2018;Fes;Security Scheme for IoT Environments in Smart Grids;Producción técnica  Presentación de trabajo  Ponencia;
0000217344;Elvis Eduardo Gaona Garcia;2nd Colombian Conference on Robotics and Automation CCRA;2018;BARRANQUILLA;CFD Analysis of two and four blades for multirotor Unmanned Aerial Vehicle;Demás trabajos  Demás trabajos  Póster;
